qid,label,cluster
55983,человека полностью принадлежат,Совместные усилия и цель
55983,чувство вклада,Участие и взаимодействие
55983,чувство нового,Познание и преодоление проблем
55983,эмоциональная отдача,Идеи и мотивация к успеху
55983,энергия,Идеи и мотивация к успеху
55983,этому делу,Личные моменты и преданность
54827,а вдруг там плохо,Познание и преодоление проблем
54827,боязнь нового,Познание и преодоление проблем
54827,боязнь ошибиться,Познание и преодоление проблем
54827,боязнь ошибки,Познание и преодоление проблем
54827,промах,Сомнения и неопределенность
54827,в выборе,Достижение целей и желания
54827,сложно выбрать,Работа и поиск решений
54827,влияние на чужую жизнь,Жизненные решения и влияние
54827,решение влияет на других людей,Человеческий фактор и решения
54827,в ответственности за его долго,Высокие риски и ответственность
54827,высокая ответственность,Высокие риски и ответственность
54827,отвественное,Высокие риски и ответственность
54827,ответственность,Высокие риски и ответственность
54827,высокие риски,Высокие риски и ответственность
54827,другое место работы,Работа и поиск решений
54827,если нужно при,Достижение целей и желания
54827,долгосрочное,Жизненные решения и влияние
54827,доооооолгий хвост решения,Человеческий фактор и решения
54827,на длительную перспективу,Жизненные решения и влияние
54827,за долгосрочный результат,Жизненные решения и влияние
54827,зависит дальнейшая жизнь,Жизненные решения и влияние
54827,от решения зависит дальнейшая,Жизненные решения и влияние
54827,влияние на будущую жизнь,Жизненные решения и влияние
54827,множество вариантов решения,Человеческий фактор и решения
54827,1. много вариантов,Разнообразие и изменения
54827,много рисков,Высокие риски и ответственность
54827,2. много советчиков,Разнообразие и изменения
54827,моя гиперответственность,Участие и взаимодействие
54827,наличие времени,Совместные усилия и цель
54827,не хватало опыта,Работа и поиск решений
54827,неизвестность,Сомнения и неопределенность
54827,ответственность неизвестность,Сомнения и неопределенность
54827,неопределеннос,Сомнения и неопределенность
54827,не уверен за конечный результа,Человеческий фактор и решения
54827,неизвестность результата решен,Человеческий фактор и решения
54827,ни в чем,UNK
54827,нет сложностей,Сомнения и неопределенность
54827,не уверен  просто,Сомнения и неопределенность
54827,неуверенность,Сомнения и неопределенность
54827,неуверенность  что справишься,Сомнения и неопределенность
54827,сомнения,Сомнения и неопределенность
54827,новые проблемы,Познание и преодоление проблем
54827,одиночество,Самоотдача и решимость
54827,опасение последствий,Страх и опасения
54827,последствия,Нравственные ценности и цели
54827,принятие последствий,Участие и взаимодействие
54827,отсутствие кадров,Финансы и кадры
54827,отсутствиекадров,Финансы и кадры
54827,отсутствие финансов,Финансы и кадры
54827,решение под давлением,Человеческий фактор и решения
54827,решительность,Самоотдача и решимость
54827,сильное влияние на жизнь,Жизненные решения и влияние
54827,это кординально поменяет жизнь,Жизненные решения и влияние
54827,скорость,Проявление активности и развитие
54827,слишком много переменных для р,Разнообразие и изменения
54827,сложность отмены,Разбор сложных задач
54827,смена места жительства,Разнообразие и изменения
54827,ст,UNK
54827,страх,Страх и опасения
54827,финансы,Финансы и кадры
54827,финансовая подоплека,Финансы и кадры
